FX EXPOSURE,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Total Assets in a Foreign Currency [],,-,-,-
Total Liabilities in a Foreign Currency [],,-,-,-
Foreign Currency Hedges,,-,-,0
