CONCENTRATION,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
% of single largest obligor exposure wrt Equity,,0.006268646667677446,0.0046224962699770245,0.0031591112657610816
% of top 20 largest obligor exposure wrt Equity,,0.03554638833416362,0.03106982769739771,0.01632488874711287
% of single largest deposit in deposit portfolio,,,,
% of top 20 deposits in deposit portfolio,,,,
